ps_db	BER_30dB_M50	BER_20dB_M50	BER_10dB_M50	BER_10dB_M1
0.000000e+00	1.034622e-03	1.779099e-03	4.198837e-03	1.908894e-01
1.034483e+00	1.593399e-03	1.949806e-03	4.650993e-03	1.841927e-01
2.068966e+00	1.477928e-03	2.258987e-03	4.347153e-03	1.729660e-01
3.103448e+00	1.466293e-03	2.735214e-03	5.139771e-03	1.483192e-01
4.137931e+00	2.698250e-03	3.309784e-03	5.746040e-03	9.716225e-02
5.172414e+00	2.521324e-03	3.665619e-03	7.404442e-03	2.335358e-02
6.206897e+00	3.042183e-03	5.210190e-03	8.419380e-03	7.968903e-03
7.241379e+00	3.921890e-03	5.228615e-03	1.125980e-02	1.024246e-02
8.275862e+00	4.221497e-03	7.165413e-03	1.203373e-02	1.276779e-02
9.310345e+00	6.371765e-03	7.357788e-03	1.558346e-02	1.579666e-02
1.034483e+01	6.943512e-03	8.874092e-03	2.013718e-02	1.941109e-02
1.137931e+01	8.621178e-03	1.241962e-02	2.440502e-02	2.354431e-02
1.241379e+01	1.063740e-02	1.515366e-02	2.955265e-02	2.909279e-02
1.344828e+01	1.359917e-02	1.892788e-02	3.713032e-02	3.373528e-02
1.448276e+01	1.590359e-02	2.289688e-02	4.311676e-02	4.620361e-02
1.551724e+01	2.109756e-02	2.950218e-02	5.201080e-02	5.439377e-02
1.655172e+01	2.482529e-02	3.594440e-02	6.147247e-02	6.320000e-02
1.758621e+01	3.122826e-02	4.282936e-02	7.138103e-02	7.245445e-02
1.862069e+01	3.539043e-02	4.973232e-02	9.000229e-02	8.657646e-02
1.965517e+01	4.690361e-02	6.284554e-02	1.031630e-01	1.021290e-01
2.068966e+01	5.580177e-02	7.543068e-02	1.167903e-01	1.209774e-01
2.172414e+01	6.443790e-02	8.960808e-02	1.320486e-01	1.375484e-01
2.275862e+01	7.912731e-02	1.051312e-01	1.519325e-01	1.533375e-01
2.379310e+01	9.245914e-02	1.197275e-01	1.698751e-01	1.726761e-01
2.482759e+01	1.088951e-01	1.382732e-01	1.941850e-01	1.905251e-01
2.586207e+01	1.255410e-01	1.523418e-01	2.092593e-01	2.093239e-01
2.689655e+01	1.430310e-01	1.752398e-01	2.285888e-01	2.278271e-01
2.793103e+01	1.578057e-01	1.932558e-01	2.485398e-01	2.474403e-01
2.896552e+01	1.804517e-01	2.121680e-01	2.691722e-01	2.631474e-01
3.000000e+01	1.988709e-01	2.321848e-01	2.855803e-01	2.849255e-01
