ps_db	BER_30dB_M50_L4	BER_30dB_M50_L8	BER_30dB_M50_L16	BER_30dB_M8_L4	BER_30dB_M8_L8	BER_30dB_M8_L16
0.000000e+00	9.549375e-04	1.032625e-02	1.494284e-02	1.311348e-02	6.585039e-02	4.879316e-02
1.304348e+00	8.167188e-04	8.307531e-03	2.453894e-02	1.152539e-02	5.547441e-02	8.253730e-02
2.608696e+00	1.826469e-03	6.130906e-03	2.212734e-02	6.174414e-03	4.164043e-02	7.899980e-02
3.913043e+00	2.278406e-03	5.248187e-03	1.813275e-02	3.174023e-03	3.227969e-02	6.877793e-02
5.217391e+00	2.375531e-03	3.555750e-03	1.569269e-02	2.632422e-03	2.571777e-02	6.374062e-02
6.521739e+00	2.834625e-03	3.627375e-03	1.316369e-02	3.395312e-03	2.333477e-02	5.690234e-02
7.826087e+00	3.955687e-03	4.510844e-03	1.254956e-02	4.294531e-03	2.066152e-02	4.867246e-02
9.130435e+00	5.881813e-03	4.714812e-03	1.272150e-02	5.958984e-03	1.713242e-02	4.193945e-02
1.043478e+01	7.290563e-03	6.581375e-03	1.097887e-02	6.311133e-03	1.305625e-02	3.628887e-02
1.173913e+01	1.001469e-02	9.063437e-03	1.239800e-02	1.011465e-02	1.321914e-02	3.353437e-02
1.304348e+01	1.175650e-02	1.200456e-02	1.469406e-02	1.194355e-02	1.409551e-02	2.993105e-02
1.434783e+01	1.530597e-02	1.589228e-02	1.674672e-02	1.576719e-02	1.670410e-02	2.810273e-02
1.565217e+01	1.999809e-02	2.223119e-02	2.119813e-02	2.110195e-02	2.174512e-02	3.095566e-02
1.695652e+01	2.568516e-02	2.742269e-02	2.564553e-02	2.693066e-02	2.567422e-02	3.505234e-02
1.826087e+01	3.579156e-02	3.434428e-02	3.482353e-02	3.648555e-02	3.420684e-02	3.906133e-02
1.956522e+01	4.534150e-02	4.529331e-02	4.521331e-02	4.389219e-02	4.703086e-02	4.798496e-02
2.086957e+01	5.726006e-02	5.710016e-02	5.766103e-02	5.760195e-02	5.614570e-02	5.756641e-02
2.217391e+01	7.053250e-02	7.124753e-02	7.063753e-02	7.151172e-02	7.053242e-02	7.281562e-02
2.347826e+01	9.083269e-02	8.677203e-02	8.704156e-02	8.813438e-02	9.196758e-02	8.884180e-02
2.478261e+01	1.083452e-01	1.073410e-01	1.101991e-01	1.066910e-01	1.058729e-01	1.099975e-01
2.608696e+01	1.285338e-01	1.280378e-01	1.282441e-01	1.296174e-01	1.291934e-01	1.321105e-01
2.739130e+01	1.516722e-01	1.524814e-01	1.468416e-01	1.521082e-01	1.540508e-01	1.521254e-01
2.869565e+01	1.739593e-01	1.736210e-01	1.756752e-01	1.749500e-01	1.756750e-01	1.725387e-01
3.000000e+01	2.006837e-01	1.999186e-01	1.984111e-01	1.993746e-01	2.008445e-01	2.022531e-01
